Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.560: [GC (Allocation Failure) 0.560: [DefNew: 960K->64K(960K), 0.0025321 secs] 32256K->31958K(524224K), 0.0025827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.565: [GC (Allocation Failure) 0.565: [DefNew: 960K->63K(960K), 0.0014348 secs] 32856K->32354K(524224K), 0.0014854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.567: [GC (Allocation Failure) 0.567: [DefNew: 959K->64K(960K), 0.0010346 secs] 33250K->32575K(524224K), 0.0010678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.570: [GC (Allocation Failure) 0.570: [DefNew: 960K->64K(960K), 0.0008835 secs] 33471K->32847K(524224K), 0.0009217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.572: [GC (Allocation Failure) 0.572: [DefNew: 960K->64K(960K), 0.0015764 secs] 33743K->33208K(524224K), 0.0016323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.576: [GC (Allocation Failure) 0.576: [DefNew: 960K->63K(960K), 0.0014386 secs] 34104K->33635K(524224K), 0.0015126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.579: [GC (Allocation Failure) 0.579: [DefNew: 959K->64K(960K), 0.0010478 secs] 34532K->33859K(524224K), 0.0010825 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.581: [GC (Allocation Failure) 0.581: [DefNew: 960K->63K(960K), 0.0011180 secs] 34756K->34199K(524224K), 0.0011592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.585: [GC (Allocation Failure) 0.585: [DefNew: 959K->63K(960K), 0.0019332 secs] 35097K->34579K(524224K), 0.0019902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.588: [GC (Allocation Failure) 0.588: [DefNew: 959K->64K(960K), 0.0015088 secs] 35476K->34927K(524224K), 0.0015700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
